numero_dpe,date_etablissement_dpe,etiquette_dpe,etiquette_ges,type_batiment,annee_construction,type_installation_chauffage,hauteur_sous_plafond,surface_habitable_logement,code_postal_ban,code_departement_ban,coordonnee_cartographique_x_ban,coordonnee_cartographique_y_ban,nom_commune_ban,besoin_chauffage
2601E0050971R,2026-01-08,D,D,appartement,1982,individuel,2.5,90,1800,1,870188.97,6536445.33,Meximieux,7752.8
2401E4559802E,2024-12-24,F,C,appartement,,individuel,2.6,67.7,1510,1,905766.96,6531098.03,Virieu-le-Grand,12006.5
2501E3793577A,2025-12-03,C,A,maison,,,2.5,127.2,1960,1,869845.41,6568038.92,Péronnas,20437.8
2601E0048488E,2026-01-08,C,C,appartement,1982,individuel,2.5,79,1800,1,870188.97,6536445.33,Meximieux,3783.7
2601E0006366C,2026-01-04,C,C,appartement,1993,individuel,2.5,104.6,1480,1,835856.2,6544237.45,Jassans-Riottier,6070
2401E0399040W,2024-02-03,C,C,appartement,,individuel,2.5,94,1700,1,851241.91,6526572.98,Miribel,2295.7
2501E2666519Q,2025-08-21,E,B,appartement,,individuel,2.5,49,1200,1,917312.07,6561457.5,Valserhône,4762.2
2301E2084106B,2023-06-16,C,C,appartement,2013,individuel,2.5,43.5,1170,1,935037.84,6586214.84,Gex,2783.3
2501E3225683Y,2025-10-12,C,A,maison,2000,,2.5,119,1290,1,847525.23,6573694.06,Laiz,8440.2
2601E0069168O,2026-01-11,D,B,maison,1992,,2.5,85,1280,1,937273.42,6576760.37,Prévessin-Moëns,7295.4
2501E3401287Y,2025-10-28,F,D,appartement,1966,collectif,2.5,60.4,1000,1,871879.54,6570562.78,Bourg-en-Bresse,17527.7
2201E2605068A,2022-11-04,E,B,appartement,,individuel,2.5,36,1630,1,933363.81,6575701.18,Saint-Genis-Pouilly,3117
2601E0015051D,2026-01-05,B,A,maison,,,2.4,94.8,1990,1,846678.99,6554149.47,Saint-Trivier-sur-Moignans,10534.3
2501E1227641E,2025-04-09,D,C,maison,,,2.5,220,1200,1,918667.85,6562313.3,Valserhône,30879.8
2301E2066265W,2023-06-21,C,C,maison,,,2.5,193,1280,1,937483.27,6578471.4,Prévessin-Moëns,18322.9
2501E3828033G,2025-12-05,D,B,maison,,,2.4,152.5,1990,1,843313.15,6557382.37,Chaneins,17678.3
2401E4498613T,2024-12-19,D,B,appartement,,individuel,2.5,46.4,1360,1,864672.14,6529956.11,Balan,4309.9
2601E0049849N,2026-01-08,D,D,appartement,1982,individuel,2.5,60,1800,1,870188.97,6536445.33,Meximieux,5333.9
2501E3929229K,2025-12-16,D,B,maison,,,3,135.3,1600,1,837373.89,6539508.45,Trévoux,16088.9
2601E0007623L,2026-01-05,D,D,maison,,,2.5,266.1,1630,1,924791.59,6568808.02,Péron,42777.4
2401E2705459H,2024-07-26,D,B,appartement,,individuel,2.5,30,1000,1,871775.91,6569744.86,Bourg-en-Bresse,2139.9
2601E0050498M,2026-01-08,D,D,appartement,1982,individuel,2.5,72,1800,1,870188.97,6536445.33,Meximieux,7398.6
2201E1930370C,2022-08-29,D,B,appartement,,individuel,2.5,44,1630,1,925550.48,6569542.42,Péron,2417.8
2501E2165700J,2025-07-01,F,F,appartement,1981,collectif,2.5,76.8,1210,1,939967.47,6578093.98,Ferney-Voltaire,9344.1
2501E0884222T,2025-03-16,C,B,maison,,,2.5,138,1560,1,862917.91,6591229.32,Saint-Julien-sur-Reyssouze,11126.2
2501E3444159W,2025-10-31,D,D,maison,1977,,2.3,143.2,1390,1,851481.4,6537825.86,Saint-André-de-Corcy,20396.4
2401E0962941J,2024-03-17,F,C,appartement,,individuel,2.5,41,1330,1,856960.37,6546744.29,Villars-les-Dombes,7823.3
2301E1694087I,2023-05-23,G,C,appartement,,individuel,2.8,30,1600,1,837780.61,6539397.63,Trévoux,9714.1
2501E3266644J,2025-10-15,E,C,maison,,,2.3,68.2,1170,1,936842.83,6582070.58,Ségny,9904.9
2501E0364973Q,2025-02-03,D,D,maison,1989,,2.4,131.6,1500,1,882453.24,6542515.25,Ambérieu-en-Bugey,21379.3
2301E1841559I,2023-06-04,C,A,appartement,1911,individuel,2.3,37.7,1220,1,941431.57,6588816.55,Divonne-les-Bains,1807.5
2301E3672318D,2023-10-30,G,C,appartement,,individuel,2.4,47.1,1390,1,851017.98,6538070,Saint-André-de-Corcy,10311.2
2401E0111619F,2024-01-11,C,B,appartement,1900,individuel,2.6,56,1170,1,936118.26,6584540.27,Cessy,2667
2501E2514998X,2025-07-31,D,D,appartement,1965,collectif,2.5,135,1200,1,918322.3,6560462.95,Valserhône,17146.4
2501E1418700P,2025-04-26,E,E,appartement,1965,collectif,2.6,90.9,1210,1,939577.89,6577766.87,Ferney-Voltaire,9748.7
2301E0137550N,2023-01-16,D,D,appartement,,individuel,3.2,53.1,1600,1,837339.08,6539454.01,Trévoux,3117.8
2301E0109564D,2023-01-13,D,B,maison,,,2.5,107,1800,1,867201.9,6534430.21,Bourg-Saint-Christophe,8757.4
2501E1950339G,2025-06-13,D,B,appartement,1960,mixte (collectif-individuel),2.5,73,1200,1,917993.69,6560177.16,Valserhône,6088.9
2501E3859413E,2025-12-09,E,C,maison,1972,,2.5,100.4,1480,1,837285.9,6545228.67,Frans,17612.3
2301E2260279Y,2023-07-05,D,D,appartement,,individuel,2.5,72,1630,1,932739.49,6575577.01,Saint-Genis-Pouilly,4800.1
2201E2223690Q,2022-09-28,E,E,appartement,1971,collectif,2.5,30.6,1210,1,940017.91,6577630.64,Ferney-Voltaire,2038.6
2501E1127485A,2025-04-02,C,C,maison,2019,,2.5,108.5,1500,1,882429.4,6542163.91,Ambérieu-en-Bugey,7781.3
2201E1453979J,2022-06-28,D,B,appartement,,individuel,2.8,27.1,1500,1,881827.64,6542441.51,Ambérieu-en-Bugey,2674.5
2401E1189200Q,2024-04-03,C,A,appartement,,individuel,2.6,99,1000,1,871638.94,6569473.14,Bourg-en-Bresse,4875.6
2301E2192099Q,2023-06-29,D,A,appartement,,collectif,2.5,39.5,1210,1,939748.31,6578199.36,Ferney-Voltaire,1811.6
2301E0745161E,2023-03-07,F,F,appartement,,collectif,2.5,60,1000,1,871303.1,6569379.58,Bourg-en-Bresse,13780
2501E0483925S,2025-02-12,D,B,appartement,1873,individuel,2.5,28,1330,1,856829.11,6546791.02,Villars-les-Dombes,2469.6
2401E0658454I,2024-02-22,F,C,appartement,,individuel,3.1,59.5,1230,1,889544.1,6541989.06,Saint-Rambert-en-Bugey,9188.9
2201E2219485X,2022-09-19,C,C,maison,1450,,2.5,441,1400,1,853158.52,6554378.67,Sandrans,27510.2
2301E3957134P,2023-11-21,D,D,appartement,,individuel,2.5,55.1,1120,1,860022.12,6530014.61,Dagneux,4844.2
2601E0080308A,2026-01-12,C,C,appartement,,individuel,2.5,48,1600,1,838730.67,6538948.8,Trévoux,1555
2501E1650321C,2025-05-19,F,C,maison,,,2.5,69.5,1990,1,846654.22,6554215.08,Saint-Trivier-sur-Moignans,15251
2501E2694463K,2025-08-26,F,C,appartement,1921,individuel,2.6,38.4,1600,1,837285.92,6539509.25,Trévoux,5524.1
2401E1103683N,2024-03-27,F,F,appartement,1978,collectif,2.5,74.9,1210,1,939013.68,6577197.97,Ferney-Voltaire,12246.7
2101E1012513W,2021-12-30,D,D,appartement,1947,individuel,2.4,38,1000,1,872092.9,6569121.34,Bourg-en-Bresse,3800.7
2301E4473031U,2023-12-26,G,C,appartement,,individuel,2.8,35.7,1600,1,838037.81,6539401.21,Trévoux,7306.4
2501E0460185Q,2025-02-11,D,B,appartement,,individuel,2.4,58.7,1700,1,851627.1,6526819.78,Miribel,4860.3
2301E0068918V,2023-01-10,D,B,appartement,2009,individuel,2.5,34.2,1630,1,925519.46,6569563.05,Péron,2635
2501E2959398F,2025-09-18,D,B,appartement,,individuel,2.6,63,1420,1,919205.33,6543913.23,Seyssel,4525.6
2601E0026382Y,2026-01-06,D,D,maison,,,2.5,152.4,1250,1,888044.6,6581137.55,Nivigne et Suran,21215.3
2301E0695233W,2023-03-02,E,B,appartement,2009,individuel,2.5,41,1630,1,925519.46,6569563.05,Péron,4350
2601E0065702G,2026-01-10,G,F,maison,1966,,2.5,78.5,1100,1,904989.1,6576034.53,Oyonnax,31287.4
2301E2762241E,2023-08-19,C,B,appartement,1988,individuel,2.5,109,1130,1,901137.68,6564833.79,Nantua,6704.7
2501E2621643Q,2025-08-14,E,E,appartement,1974,mixte (collectif-individuel),2.5,30.2,1210,1,939811.69,6578560.4,Ornex,2616.2
2301E2066519Q,2023-06-21,D,B,appartement,,individuel,2.5,64,1170,1,935553.66,6585076.69,Cessy,3751.4
2601E0051004Y,2026-01-08,D,D,appartement,1982,individuel,2.5,79,1800,1,870188.97,6536445.33,Meximieux,7146.7
2201E0504611F,2022-03-08,D,D,maison,2002,,2.5,107.5,1170,1,935268.08,6584935.8,Gex,13702.8
2301E1061804T,2023-03-30,F,E,appartement,,collectif,2.5,53.6,1200,1,918394.23,6560571.76,Valserhône,7479.1
2501E0994448F,2025-03-24,D,B,appartement,,individuel,2.5,48,1300,1,908630.06,6521457.89,Belley,4216
2301E4249999Q,2023-12-11,E,D,appartement,,collectif,2.5,50.4,1600,1,838332.78,6539393.54,Trévoux,6503.3
2401E2770988Q,2024-07-31,E,E,appartement,1921,individuel,2.5,43.9,1600,1,837743.69,6539446.89,Trévoux,8433.5
2301E2142799M,2023-06-26,D,B,maison,1974,,2.5,172.2,1300,1,910957,6516694.35,Virignin,20485.1
2601E0041277V,2026-01-07,C,C,appartement,2013,collectif,2.5,133,1630,1,932662.96,6576460.36,Saint-Genis-Pouilly,4883.6
2501E0030557M,2025-01-06,F,C,appartement,1989,individuel,2.4,23.8,1170,1,935547.96,6585888.21,Gex,3828.8
2501E0370637M,2025-02-03,E,B,appartement,1921,individuel,2.5,35,1630,1,932614.15,6575787.47,Saint-Genis-Pouilly,3585.3
2501E1571113Q,2025-05-12,D,B,maison,1976,,2.5,97,1210,1,938552.25,6583246.53,Versonnex,12428.7
2601E0025274I,2026-01-06,D,D,immeuble,1965,collectif,2.5,,1220,1,940596.33,6587747.21,Divonne-les-Bains,35916.4
2401E4520471L,2024-12-20,D,D,appartement,1985,collectif,2.6,48.1,1220,1,941338.01,6588773.82,Divonne-les-Bains,3891
2201E2094053P,2022-09-14,C,A,appartement,1990,individuel,2.5,72,1170,1,935457.84,6586746.68,Gex,2659.4
2401E4399928E,2024-12-12,D,B,maison,,,2.5,53,1200,1,918667.85,6562313.3,Valserhône,17896.1
2501E3517822B,2025-11-06,D,B,appartement,,individuel,2.5,35,1100,1,904653.01,6576380.89,Oyonnax,2908.2
2401E4493247J,2024-12-18,C,C,appartement,2008,individuel,2.5,47.8,1170,1,935141.22,6585555.14,Gex,2705.8
2401E1235307Z,2024-04-05,E,E,maison,,,2.5,160.2,1200,1,918096.77,6560702.79,Valserhône,24143
2501E2198116D,2025-07-03,E,C,maison,1972,,2.2,118.6,1150,1,881536,6535777,Lagnieu,30148.1
2301E0398392X,2023-02-01,E,E,appartement,1990,collectif,2.5,79.6,1210,1,939470.93,6578158.98,Ferney-Voltaire,8411.9
2501E3214038B,2025-10-10,F,C,maison,1900,,2.8,238,1470,1,892567,6521475.81,Briord,38016.1
2201E2627009X,2022-11-07,C,B,appartement,1960,individuel,2.5,49.2,1200,1,918457.17,6560454.45,Valserhône,2350.7
2401E0560652S,2024-02-16,D,B,appartement,,individuel,2.5,55.4,1140,1,839132.38,6565257.98,Thoissey,4938.9
2501E3208333Q,2025-10-10,B,A,maison,,,2.4,94.1,1200,1,914150.82,6556801.7,Billiat,5361.5
2201E2403492C,2022-10-14,C,C,appartement,,individuel,2.5,60,1630,1,932705.21,6575765.4,Saint-Genis-Pouilly,1558.1
2500E0672078I,2025-02-27,C,A,appartement,1993,individuel,2.5,26,1000,1,870764.06,6569926.57,Bourg-en-Bresse,521.7
2201E0064359L,2022-01-13,G,C,appartement,1974,individuel,2.5,63,1710,1,929035,6575572.02,Thoiry,19655.4
2501E3915937E,2025-12-15,F,C,appartement,,individuel,2.4,35.4,1340,1,863605.12,6584148.81,Montrevel-en-Bresse,6804.4
2201E1628818Y,2022-07-18,D,B,maison,1987,,2.7,167.6,1800,1,864658.93,6538386.75,Faramans,18217.1
2301E0232923S,2023-01-25,D,D,appartement,,collectif,2.5,19,1000,1,870431.29,6568919.28,Bourg-en-Bresse,443.7
2201E1471763J,2022-06-29,D,B,appartement,2010,individuel,2.5,85.9,1210,1,938991.74,6577444.28,Ferney-Voltaire,7030
2601E0053688E,2026-01-09,D,B,maison,,,2.5,79,1100,1,901853.25,6576297.62,Géovreisset,9062.1
2601E0071176U,2026-01-12,G,G,maison,,,2.6,76.3,1680,1,897135.31,6519336.43,Lhuis,26224
2301E1158771G,2023-04-06,E,E,maison,1950,,2.5,143.8,1420,1,915853.93,6548725.65,Chanay,19218.8
2301E4510156R,2023-12-29,E,B,maison,2002,,2.5,139.2,1630,1,933401.14,6579244,Saint-Genis-Pouilly,17383
2501E1291093Q,2025-04-15,C,C,appartement,2014,collectif,2.5,47.4,1170,1,935753.43,6586869.18,Gex,1108.6
2201E2517395Z,2022-10-26,B,A,appartement,,collectif,2.5,132,1630,1,932695.01,6576312,Saint-Genis-Pouilly,4345.7
2501E0975023C,2025-03-21,E,E,appartement,1973,collectif,2.5,48.1,1220,1,940956.08,6589963.52,Divonne-les-Bains,4853.1
2601E0005458E,2026-01-03,C,B,appartement,1990,individuel,2.5,50.8,1750,1,844136.71,6580065.65,Replonges,2982.8
2501E3659450H,2025-11-20,G,G,maison,,,2.9,179,1200,1,918057.07,6560743.26,Valserhône,47796.1
2501E3630799I,2025-11-19,F,C,appartement,,individuel,2.8,35.5,1500,1,882067.02,6543504.63,Ambérieu-en-Bugey,6165
2501E2746355G,2025-08-30,D,B,appartement,1986,individuel,2.5,130.6,1210,1,939966.73,6577536.71,Ferney-Voltaire,13382
2601E0074546K,2026-01-12,E,B,appartement,,individuel,2.5,25.9,1000,1,871844,6569805.55,Bourg-en-Bresse,2956.8
2601E0048516G,2026-01-08,D,D,appartement,1982,individuel,2.5,55,1800,1,870188.97,6536445.33,Meximieux,3357.7
2601E0047420C,2026-01-08,D,D,maison,,,2.5,140.8,1480,1,836241.28,6547764.53,Fareins,20654.4
2501E2562194D,2025-08-06,E,C,maison,,,2.6,92,1200,1,913216.7,6552583.59,Injoux-Génissiat,16638.2
